hostname,n_planets,avg_radius,avg_mass,first_year,last_year
KOI-351,8,3.9,31.15,2013,2017
TRAPPIST-1,7,0.98,0.92,2016,2017
K2-138,6,2.58,6.04,2017,2021
TOI-1136,6,3.05,6.59,2022,2022
Kepler-20,6,2.29,9.39,2011,2016
TOI-178,6,2.22,4.05,2021,2021
HD 191939,6,6.59,176.97,2020,2022
HD 219134,6,3.67,25.24,2015,2015
Kepler-11,6,2.97,7.85,2010,2010
HIP 41378,6,4.18,8.5,2016,2025
HD 34445,6,8.86,86.69,2009,2017
HD 10180,6,6.68,1587.7,2010,2010
HD 110067,6,2.43,6.31,2023,2023
Kepler-80,6,1.81,747.39,2012,2017
Kepler-48,5,6.77,196.41,2012,2023
Kepler-62,5,1.36,19.6,2013,2013
HD 23472,5,1.32,2.75,2019,2022
L 98-59,5,1.35,1.94,2019,2025
Kepler-296,5,1.81,3.95,2014,2014
Kepler-154,5,2.41,6.91,2014,2016
Kepler-292,5,2.01,4.88,2014,2014
Kepler-169,5,1.67,3.64,2014,2014
Kepler-84,5,2.15,15.09,2012,2014
HD 134606,5,3.5,14.63,2024,2024
Kepler-139,5,5.68,87.2,2014,2025
Kepler-186,5,1.23,1.95,2014,2014
TOI-5624,5,3.06,8.2,2026,2026
GJ 667 C,5,1.78,3.9,2012,2013
Kepler-33,5,3.75,4.63,2011,2011
K2-384,5,1.45,2.71,2022,2022
Kepler-444,5,0.54,0.15,2015,2015
K2-268,5,1.85,4.26,2018,2021
Kepler-82,5,3.7,237.21,2012,2019
55 Cnc,5,8.98,320.75,1996,2007
Kepler-32,5,1.84,495.02,2011,2012
Kepler-122,5,2.95,20.85,2014,2014
HD 158259,5,2.08,5.09,2020,2020
Kepler-102,5,1.04,2.96,2013,2014
Kepler-150,5,2.9,9.26,2014,2017
HD 108236,5,2.26,5.92,2020,2021
Kepler-55,5,1.87,24.42,2012,2014
Kepler-238,5,2.96,732.77,2013,2014
HD 40307,5,2.34,969.04,2009,2013
TOI-4010,4,7.11,190.36,2023,2023
HD 20794,4,1.95,4.52,2011,2025
Kepler-24,4,2.33,85.33,2011,2014
Kepler-306,4,2.15,5.37,2014,2014
Kepler-68,4,7.11,90.69,2013,2023
Kepler-265,4,2.39,6.38,2014,2014
Kepler-251,4,2.41,6.66,2014,2014
KOI-94,4,5.97,41.78,2013,2013
HD 160691,4,3.23,1250.1,2000,2006
Kepler-286,4,1.43,2.66,2014,2014
Kepler-758,4,1.95,4.58,2016,2016
Kepler-304,4,2.24,5.94,2014,2016
TOI-1203,4,3.49,14.62,2021,2025
HD 215152,4,,695.01,2018,2018
GJ 876,4,8.43,242.91,1998,2010
Kepler-26,4,2.25,4.74,2011,2014
V1298 Tau,4,7.8,9.78,2019,2019
Barnard's star,4,0.7,0.27,2024,2025
Kepler-282,4,1.94,30.02,2013,2014
Kepler-289,4,4.92,45.9,2014,2025
Kepler-58,4,2.55,232.91,2012,2023
Kepler-65,4,4.86,67.99,2012,2019
Kepler-245,4,2.38,500.36,2014,2016
Kepler-256,4,2.14,5.31,2014,2014
GJ 676 A,4,7.34,1534.87,2010,2016
Kepler-279,4,3.79,1080.96,2013,2025
Kepler-411,4,3.36,19.5,2013,2018
Kepler-1542,4,0.76,0.38,2016,2016
Kepler-341,4,1.68,3.5,2014,2014
Kepler-338,4,2.34,13.61,2014,2014
WASP-47,4,6.11,211.38,2012,2015
Kepler-342,4,1.9,4.39,2014,2016
TOI-500,4,3.4,13.66,2022,2022
GJ 887,4,1.92,4.49,2020,2026
AU Mic,4,3.37,11.4,2020,2025
Kepler-37,4,0.87,3.05,2013,2014
Kepler-132,4,1.31,2.22,2014,2016
Kepler-138,4,1.11,1.23,2014,2022
HD 3167,4,2.36,7.21,2016,2022
TOI-561,4,2.35,8.42,2020,2020
Kepler-49,4,2.05,63.79,2012,2014
Kepler-215,4,1.88,8.59,2014,2014
DMPP-1,4,2.86,9.15,2019,2019
Kepler-107,4,1.72,8.9,2014,2014
LHS 1903,4,1.92,4.89,2026,2026
